"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-01","2013","01","01","","-5.6","","-18.5","","-12.1","","30.1","","0.0","","0.0","","0.2","","0.2","","67","","29","","59",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-02","2013","01","02","","-11.3","","-25.9","","-18.6","","36.6","","0.0","","0.0","","1.0","","0.4","","67","","33","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-03","2013","01","03","","-15.7","","-26.2","","-21.0","","39.0","","0.0","","0.0","","3.0","","1.2","","67","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-04","2013","01","04","","-0.7","","-16.4","","-8.6","","26.6","","0.0","","0.0","","0.2","","0.2","","68","","22","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-05","2013","01","05","","-0.6","","-13.9","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","65","","28","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-06","2013","01","06","","-5.3","","-10.2","","-7.8","","25.8","","0.0","","0.0","","13.6","","8.4","","69","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-07","2013","01","07","","-2.3","","-20.4","","-11.4","","29.4","","0.0","","0.0","","0.0","T","0.0","T","76","","17","","48",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-08","2013","01","08","","2.3","","-5.3","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","76","","22","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-09","2013","01","09","","3.9","","-6.8","","-1.5","","19.5","","0.0","","0.4","","0.0","T","0.4","","73","","28","","56",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-10","2013","01","10","","2.5","","-6.9","","-2.2","","20.2","","0.0","","0.0","","0.0","","0.0","","66","","29","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-11","2013","01","11","","0.9","","-6.5","","-2.8","","20.8","","0.0","","2.4","","0.0","","2.4","","62","","9","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-12","2013","01","12","","6.5","","0.5","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","55","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-13","2013","01","13","","6.3","","1.5","","3.9","","14.1","","0.0","","5.6","","0.0","","5.6","","50","","9","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-14","2013","01","14","","5.9","","-3.2","","1.4","","16.6","","0.0","","3.0","","0.0","","3.0","","42","","28","","59",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-15","2013","01","15","","-0.6","","-6.6","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","42","","22","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-16","2013","01","16","","0.8","","-7.9","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","36","","20","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-17","2013","01","17","","0.4","","-22.7","","-11.2","","29.2","","0.0","","0.0","","1.0","","0.6","","36","","29","","63",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-18","2013","01","18","","-6.6","","-24.8","","-15.7","","33.7","","0.0","","0.0","","2.8","","2.2","","35","","29","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-19","2013","01","19","","3.3","","-7.2","","-2.0","","20.0","","0.0","","3.8","","8.6","","10.0","","43","","21","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-20","2013","01","20","","6.0","","-17.2","","-5.6","","23.6","","0.0","","1.0","","2.2","","2.2","","38","","28","","72",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-21","2013","01","21","","-16.5","","-21.7","","-19.1","","37.1","","0.0","","0.0","","0.0","T","0.0","T","38","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-22","2013","01","22","","-16.2","","-24.6","","-20.4","","38.4","","0.0","","","M","0.6","","0.2","","38","","27","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-23","2013","01","23","","-22.3","","-28.9","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","38","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-24","2013","01","24","","-17.9","","-27.8","","-22.9","","40.9","","0.0","","0.0","","0.0","","0.0","","38","","29","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-25","2013","01","25","","-14.4","","-24.1","","-19.3","","37.3","","0.0","","0.0","","0.0","","0.0","","38","","29","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-26","2013","01","26","","-10.4","","-21.1","","-15.8","","33.8","","0.0","","0.0","","0.0","","0.0","","38","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-27","2013","01","27","","-10.6","","-20.5","","-15.6","","33.6","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-28","2013","01","28","","-7.9","","-12.2","","-10.1","","28.1","","0.0","","0.0","","13.4","","8.2","","36","","3","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-29","2013","01","29","","-1.7","","-13.9","","-7.8","","25.8","","0.0","","4.4","","0.0","T","4.4","","47","","7","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-30","2013","01","30","","11.7","","-1.8","","5.0","","13.0","","0.0","","1.8","","0.0","","1.8","","42","","19","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-01-31","2013","01","31","","9.0","","-14.1","","-2.6","","20.6","","0.0","","9.4","","0.0","T","9.4","","25","","25","","83",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-01","2013","02","01","","-12.5","","-17.7","","-15.1","","33.1","","0.0","","0.0","","0.0","T","0.0","T","15","","29","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-02","2013","02","02","","-12.3","","-18.5","","-15.4","","33.4","","0.0","","0.0","","1.4","","0.8","","15","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-03","2013","02","03","","-9.5","","-15.0","","-12.3","","30.3","","0.0","","0.0","","1.4","","0.8","","16","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-04","2013","02","04","","-10.8","","-18.8","","-14.8","","32.8","","0.0","","0.0","","0.4","","0.0","T","16","","28","","57",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-05","2013","02","05","","-8.9","","-23.1","","-16.0","","34.0","","0.0","","0.0","","1.0","","0.4","","16","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-06","2013","02","06","","-10.0","","-15.1","","-12.6","","30.6","","0.0","","0.0","","0.2","","0.0","T","16","","30","","52",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-07","2013","02","07","","-15.1","","-20.4","","-17.8","","35.8","","0.0","","0.0","","0.2","","0.2","","16","","6","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-08","2013","02","08","","-9.2","","-17.9","","-13.6","","31.6","","0.0","","","M","25.0","","13.6","","19","","7","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-09","2013","02","09","","-7.4","","-18.8","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","41","","1","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-10","2013","02","10","","-4.5","","-23.8","","-14.2","","32.2","","0.0","","0.0","","0.0","","0.0","","40","","6","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-11","2013","02","11","","2.6","","-10.4","","-3.9","","21.9","","0.0","","2.4","","0.8","","2.4","","39","","22","","59",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-12","2013","02","12","","1.9","","-1.9","","0.0","","18.0","","0.0","","0.0","","1.6","","0.8","","36","","26","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-13","2013","02","13","","0.2","","-4.0","","-1.9","","19.9","","0.0","","0.0","","0.2","","0.0","T","35","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-14","2013","02","14","","2.2","","-3.4","","-0.6","","18.6","","0.0","","0.0","","1.4","","0.8","","33","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-15","2013","02","15","","2.5","","-10.5","","-4.0","","22.0","","0.0","","0.4","","2.0","","2.2","","30","","21","","61",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-16","2013","02","16","","-8.6","","-17.4","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","27","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-17","2013","02","17","","-10.8","","-20.4","","-15.6","","33.6","","0.0","","0.0","T","0.0","","0.0","T","27","","32","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-18","2013","02","18","","-6.7","","-18.4","","-12.6","","30.6","","0.0","","0.0","","0.0","","0.0","","27","","28","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-19","2013","02","19","","0.1","","-9.7","","-4.8","","22.8","","0.0","","0.0","","4.0","","3.8","","27","","7","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-20","2013","02","20","","-1.7","","-14.1","","-7.9","","25.9","","0.0","","0.0","","6.2","","3.8","","30","","29","","65",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-21","2013","02","21","","-3.5","","-16.0","","-9.8","","27.8","","0.0","","0.0","","0.6","","0.0","T","30","","28","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-22","2013","02","22","","0.8","","-6.6","","-2.9","","20.9","","0.0","","0.0","","0.0","T","0.0","T","30","","8","","43",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-23","2013","02","23","","0.1","","-3.4","","-1.7","","19.7","","0.0","","0.0","","2.2","","1.6","","29","","8","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-24","2013","02","24","","1.5","","-3.8","","-1.2","","19.2","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-25","2013","02","25","","3.2","","-1.6","","0.8","","17.2","","0.0","","0.0","","0.8","","0.4","","25","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-26","2013","02","26","","3.5","","-5.0","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","24","","8","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-27","2013","02","27","","1.2","","-0.4","","0.4","","17.6","","0.0","","0.0","","14.2","","25.0","","18","","7","","61",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-02-28","2013","02","28","","0.5","","-0.7","","-0.1","","18.1","","0.0","","1.2","","3.2","","3.0","","28","","7","","46",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-01","2013","03","01","","","","","","","","","","","","","","","","","","","","","","",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-02","2013","03","02","","-4.8","","-7.4","","-6.1","","24.1","","0.0","","0.0","","0.4","","0.4","","27","","32","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-03","2013","03","03","","-3.7","","-9.3","","-6.5","","24.5","","0.0","","0.0","","0.0","T","0.0","T","27","","27","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-04","2013","03","04","","-2.9","","-9.2","","-6.1","","24.1","","0.0","","0.0","","0.4","","0.0","T","27","","26","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-05","2013","03","05","","2.9","","-6.4","","-1.8","","19.8","","0.0","","0.0","","1.2","","0.6","","28","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-06","2013","03","06","","3.8","","-1.0","","1.4","","16.6","","0.0","","0.0","","0.0","T","0.0","T","26","","7","","44",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-07","2013","03","07","","0.6","","-1.6","","-0.5","","18.5","","0.0","","0.0","","0.4","","0.2","","20","","6","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-08","2013","03","08","","4.6","","-5.4","","-0.4","","18.4","","0.0","","0.0","","0.0","","0.0","","19","","34","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-09","2013","03","09","","6.3","","-7.4","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-10","2013","03","10","","7.1","","-3.2","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","12","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-11","2013","03","11","","8.6","","3.0","","5.8","","12.2","","0.0","","0.6","","0.0","","0.6","","11","","19","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-12","2013","03","12","","5.7","","1.4","","3.6","","14.4","","0.0","","1.8","","0.0","","1.8","","6","","20","","33",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-13","2013","03","13","","3.7","","-4.6","","-0.5","","18.5","","0.0","","0.0","","3.6","","2.2","","5","","24","","44",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-14","2013","03","14","","-4.6","","-11.1","","-7.9","","25.9","","0.0","","0.0","","0.2","","0.0","T","6","","28","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-15","2013","03","15","","0.6","","-12.1","","-5.8","","23.8","","0.0","","0.0","","4.0","","2.4","","6","","29","","57",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-16","2013","03","16","","-6.9","","-14.9","","-10.9","","28.9","","0.0","","0.0","","0.0","","0.0","","10","","32","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-17","2013","03","17","","-5.7","","-15.1","","-10.4","","28.4","","0.0","","0.0","","0.0","","0.0","","10","","29","","41",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-18","2013","03","18","","-3.3","","-16.3","","-9.8","","27.8","","0.0","","0.0","","2.4","","1.6","","10","","8","","54",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-19","2013","03","19","","0.4","","-6.7","","-3.2","","21.2","","0.0","","0.2","","17.4","","8.4","","18","","7","","44",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-20","2013","03","20","","-0.4","","-11.7","","-6.1","","24.1","","0.0","","0.0","","1.0","","0.6","","27","","28","","37",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-21","2013","03","21","","-0.1","","-6.7","","-3.4","","21.4","","0.0","","0.0","","1.8","","0.4","","27","","23","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-22","2013","03","22","","-1.7","","-8.2","","-5.0","","23.0","","0.0","","0.0","","0.4","","0.2","","28","","29","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-23","2013","03","23","","2.9","","-4.8","","-1.0","","19.0","","0.0","","0.0","","0.0","T","0.0","T","26","","28","","50",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-24","2013","03","24","","2.9","","-4.2","","-0.7","","18.7","","0.0","","0.0","","0.0","","0.0","","23","","28","","35",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-25","2013","03","25","","5.5","","-3.9","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","22","","7","","39",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-26","2013","03","26","","7.3","","-0.9","","3.2","","14.8","","0.0","","0.0","","0.0","T","0.0","T","16","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-27","2013","03","27","","5.2","","-1.1","","2.1","","15.9","","0.0","","0.0","","0.0","","0.0","","10","","","","<31",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-28","2013","03","28","","7.7","","1.2","","4.5","","13.5","","0.0","","0.2","","0.0","T","0.4","","7","","29","","32",""
"-75.67","45.32","OTTAWA INTL A","6106001","2013-03-29","2013","03","29","","6.3","","-0.3","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","5","","30","","32",""
